"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"BV10039961","嘉定西(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","11号线","121.227855","31.377107","121.22340904636853","31.37906396771883","[]","上海市","上海市","嘉定区"
"BV11550035","嘉戬公路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)嘉闵线","121.280895","31.377253","121.27643273217676","31.379200728224994","[]","上海市","上海市","嘉定区"
"BV10026750","安亭(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","11号线","121.161985","31.288490","121.157435988454","31.290375738920673","[]","上海市","上海市","嘉定区"
"BV10025258","桃浦新村(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","11号线","121.349623","31.281603","121.34502819425622","31.283467880892797","[]","上海市","上海市","普陀区"
"BV10032414","罗南新村(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","7号线","121.357470","31.388831","121.35285047967062","31.39064498732771","[]","上海市","上海市","宝山区"
"BV10039962","白银路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","11号线","121.245350","31.345359","121.24091460180277","31.34733473738238","[]","上海市","上海市","嘉定区"
"BV11550039","丰茂路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)嘉闵线","121.295195","31.348898","121.29071196142937","31.350835953090765","[]","上海市","上海市","嘉定区"
"BV10033820","上海赛车场(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","11号线","121.226098","31.331898","121.22165441128583","31.33386850048262","[]","上海市","上海市","嘉定区"
"BV10039871","潘广路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","7号线","121.355845","31.364182","121.35123069292852","31.36600611949883","[]","上海市","上海市","宝山区"
"BV10538934","东方绿舟(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)17号线西延线;17号线","121.019534","31.098544","121.01509073371003","31.1005796902453","[]","上海市","上海市","青浦区"
"BV10538929","朱家角(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","17号线","121.048989","31.100594","121.04445383749663","31.10255376521451","[]","上海市","上海市","青浦区"
"BV10538939","淀山湖大道(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","17号线","121.082134","31.134460","121.07753497518601","31.13635357917333","[]","上海市","上海市","青浦区"
"BV10538931","漕盈路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","17号线","121.096889","31.160467","121.09227856685102","31.162341089395497","[]","上海市","上海市","青浦区"
"BV11592638","西岑(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)17号线西延线","120.962151","31.069736","120.95791159208557","31.071953797467003","[]","上海市","上海市","青浦区"
"BV10538935","青浦新城(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","17号线","121.125670","31.158925","121.12107283014483","31.160815240994424","[]","上海市","上海市","青浦区"
"BV10538940","汇金路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","17号线","121.151665","31.161221","121.14710698245901","31.1631474319823","[]","上海市","上海市","青浦区"
"BV10538933","赵巷(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","17号线","121.192279","31.161247","121.1878014604253","31.163247789463565","[]","上海市","上海市","青浦区"
"BV10717295","环城东路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","5号线","121.463204","30.931168","121.45867397062052","30.93324825617873","[]","上海市","上海市","奉贤区"
