Unnamed_ 0,name,pinyin,unit_2021,w_unit_202,unit_2021_,w_unit_2_1,p-sim,sig,labels,unit_202_1,unit_202_2,NUMPOINTS
"45",?????,Huaxin,"21426",27727.125000000000000,-18738.587719999999536,-12437.462719999999536,0.113000000000000,"0",Non-Significant,27727.125000000000000,-16019.773030000000290,1
"46",?????,Huaihai Road,"155534",59807.000000000000000,115369.412299999996321,19642.412280000000464,0.028000000000000,"1",HH,59807.000000000000000,16060.101969999999710,2
"47",??????,HuangXing,"46514",64658.750000000000000,6349.412280999999894,24494.162280000000464,0.011000000000000,"1",HH,64658.750000000000000,20911.851969999999710,4
"48",?????,KongJiang Road,"108543",56974.000000000000000,68378.412280000004102,16809.412280000000464,0.046000000000000,"1",HH,56974.000000000000000,13227.101969999999710,1
"49",????,Huinan,"18903",16476.750000000000000,-21261.587719999999536,-23687.837719999999536,0.007000000000000,"1",LL,16476.750000000000000,-27270.148030000000290,5
"50",??????,Lingang New area,"23759",16694.875000000000000,-16405.587719999999536,-23469.712719999999536,0.007000000000000,"1",LL,16694.875000000000000,-27052.023030000000290,14
"51",????,Shuyuan,"2663",18506.750000000000000,-37501.587720000003173,-21657.837719999999536,0.013000000000000,"1",LL,18506.750000000000000,-25240.148030000000290,10
"52",??????,Jiading New area,"23518",29798.000000000000000,-16646.587719999999536,-10366.587719999999536,0.161000000000000,"0",Non-Significant,29798.000000000000000,-13948.898030000000290,20
"53",????,Huangdu,"34044",25924.750000000000000,-6120.587719000000106,-14239.837719999999536,0.081000000000000,"0",Non-Significant,25924.750000000000000,-17822.148030000000290,0
"54",?????,North-west city,"28810",28126.000000000000000,-11354.587719999999536,-12038.587719999999536,0.119000000000000,"0",Non-Significant,28126.000000000000000,-15620.898030000000290,10
"55",??????,Jiangchuan,"11322",33804.875000000000000,-28842.587719999999536,-6359.712719000000106,0.287000000000000,"0",Non-Significant,33804.875000000000000,-9942.023026000000755,5
"56",????,Jiangqiao,"31021",43651.500000000000000,-9143.587718999999197,3486.912280999999894,0.340000000000000,"0",Non-Significant,43651.500000000000000,-95.398026320000000,3
"57",?????,Jin hongqiao,"77934",50651.000000000000000,37769.412279999996827,10486.412280000000464,0.141000000000000,"0",Non-Significant,50651.000000000000000,6904.101974000000155,4
"58",????,Jinhui,"22131",21089.375000000000000,-18033.587719999999536,-19075.212719999999536,0.023000000000000,"1",LL,21089.375000000000000,-22657.523030000000290,1
"59",????,Nanqiao,"22152",22682.500000000000000,-18012.587719999999536,-17482.087719999999536,0.036000000000000,"1",LL,22682.500000000000000,-21064.398030000000290,3
