Unnamed_ 0,name,pinyin,unit_2021,w_unit_202,unit_2021_,w_unit_2_1,p-sim,sig,labels,unit_202_1,unit_202_2,ditie,
78,???????,Pengpu,55853,38806.625,15688.41228,-1357.962719,0.5,0,Non-Significant,38806.625,-4940.273026,3,
79,?????,Pujiang,23027,35587.375,-17137.58772,-4577.212719,0.363,0,Non-Significant,35587.375,-8159.523026,15,
80,????,Qibao,35465,37771.125,-4699.587719,-2393.462719,0.454,0,Non-Significant,37771.125,-5975.773026,5,
81,????,Qilian,35255,44920.75,-4909.587719,4756.162281,0.296,0,Non-Significant,44920.75,1173.851974,22,
82,?????,Qingpu,22289,24929.125,-17875.58772,-15235.46272,0.064,0,Non-Significant,24929.125,-18817.77303,3,
83,????,Quyang,0,76874.25,-40164.58772,36709.66228,0.002,1,LH,76874.25,33127.35197,0,
84,??????,South Shanghai  Station,20525,62065.625,-19639.58772,21901.03728,0.021,1,LH,62065.625,18318.72697,6,
85,????,Sheshan,17172,27966.125,-22992.58772,-12198.46272,0.127,0,Non-Significant,27966.125,-15780.77303,0,
86,??????????,North Sichuan Road,86301,63492.125,46136.41228,23327.53728,0.015,1,HH,63492.125,19745.22697,25,
87,?????,North Waitan,123361,65514.875,83196.41228,25350.28728,0.006,1,HH,65514.875,21767.97697,4,
88,????,Sijing,16922,28745.75,-23242.58772,-11418.83772,0.139,0,Non-Significant,28745.75,-15001.14803,2,
89,??????,Songjiang New area,20850,20595.875,-19314.58772,-19568.71272,0.023,1,LL,20595.875,-23151.02303,5,
90,????,Songnan,32601,47763.875,-7563.587719,7599.287281,0.224,0,Non-Significant,47763.875,4016.976974,10,
91,????,Tianshan,39876,64474,-288.5877193,24309.41228,0.009,1,LH,64474,20727.10197,11,
92,????,Xicheng,34159,44091.875,-6005.587719,3927.287281,0.315,0,Non-Significant,44091.875,344.9769737,15,
93,????,Xinzhuang,31548,38648.875,-8616.587719,-1515.712719,0.483,0,Non-Significant,38648.875,-5098.023026,9,
94,????,Xinchang,27884,19858.625,-12280.58772,-20305.96272,0.019,1,LL,19858.625,-23888.27303,6,
95,????,Hangtou,14936,32583.625,-25228.58772,-7580.962719,0.254,0,Non-Significant,32583.625,-11163.27303,13,
96,??????,Xinjiangwan,72544,45575.625,32379.41228,5411.037281,0.269,0,Non-Significant,45575.625,1828.726974,4,
97,?????,Wujiaochang,23285,57958,-16879.58772,17793.41228,0.05,0,Non-Significant,57958,14211.10197,6,
98,????,Xinqiao,9106,31330.75,-31058.58772,-8833.837719,0.217,0,Non-Significant,31330.75,-12416.14803,0,
99,??????,Yuanshen,89677,76991.25,49512.41228,36826.66228,0.001,1,HH,76991.25,33244.35197,19,
100,????,Yuepu,2881,40326.375,-37283.58772,161.7872807,0.473,0,Non-Significant,40326.375,-3420.523026,0,
101,????,Zhangjiang,23979,54193.125,-16185.58772,14028.53728,0.087,0,Non-Significant,54193.125,10446.22697,30,
102,????,Zhaoxiang,32568,24921.25,-7596.587719,-15243.33772,0.063,0,Non-Significant,24921.25,-18825.64803,2,
103,????,Xujing,50717,29398.75,10552.41228,-10765.83772,0.161,0,Non-Significant,29398.75,-14348.14803,21,
104,????,Zhelin,8436,17937.75,-31728.58772,-22226.83772,0.006,1,LL,17937.75,-25809.14803,0,
105,????,Haiwan,21537,20287.375,-18627.58772,-19877.21272,0.02,1,LL,20287.375,-23459.52303,0,
106,???????,Zhenru,65744,58778.625,25579.41228,18614.03728,0.034,1,HH,58778.625,15031.72697,20,
107,????,Wanli,51920,53713.875,11755.41228,13549.28728,0.091,0,Non-Significant,53713.875,9966.976974,4,
109,????,Yichuan,42973,67946.5,2808.412281,27781.91228,0.005,1,HH,67946.5,24199.60197,5,
110,????,Zhongyuan,47907,48167.75,7742.412281,8003.162281,0.221,0,Non-Significant,48167.75,4420.851974,3,
111,????,Zhoukang,39584,26736.25,-580.5877193,-13428.33772,0.094,0,Non-Significant,26736.25,-17010.64803,40,
112,?????,Zhujiajiao,33571,20311.625,-6593.587719,-19852.96272,0.017,1,LL,20311.625,-23435.27303,4,
113,????,Zhuqiao,23715,21607.625,-16449.58772,-18556.96272,0.024,1,LL,21607.625,-22139.27303,4,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,0.321116247,
