id,name,type,typeCode,bizType,address,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,tel,provinceName,cityName,adName
BV11576557,长兴人民医院站(临时站)(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],申崇五线,"121.706068","31.392813","121.70170411062138","31.39480168805029",[],上海市,上海市,崇明区
BV11624201,丰福路潘圆公路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],申崇四线,"121.706063","31.392786","121.70169911998809","31.39477470318186",[],上海市,上海市,崇明区
BV11484662,招呼站(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],长兴1路,"121.706150","31.392674","121.70178600647286","31.39466260670836",[],上海市,上海市,崇明区
BV11507155,长兴卫生院(下客站)(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],陈凤线,"121.706037","31.392665","121.70167316706072","31.394653776327434",[],上海市,上海市,崇明区
BV11612785,长兴医院(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],长兴4路,"121.706033","31.392643","121.70166917459156","31.394631788554157",[],上海市,上海市,崇明区
BV10602340,潘圆公路凤凰公路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],长兴3路,"121.694375","31.399301","121.69002890907755","31.401306646342483",[],上海市,上海市,崇明区
BV10498359,大华小区(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"1731路(高峰线);长兴2路;长兴3路","121.701615","31.393728","121.69725761306303","31.395723244065465",[],上海市,上海市,崇明区
BV11625810,凤晨小区(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],,"121.697209","31.395946","121.69285844268596","31.397947781646295",[],上海市,上海市,崇明区
BV11305434,凤蓉路渔乐路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"1731路(高峰线);长兴4路","121.697604","31.393268","121.69325302146244","31.395269884872306",[],上海市,上海市,崇明区
BV10498371,长明村(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"长兴2路;长兴4路","121.732918","31.384769","121.7285292059088","31.386730741341864",[],上海市,上海市,崇明区
BV11305430,江南大道月牙港路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],1731路(高峰线),"121.710230","31.385642","121.70586108987291","31.38762683663789",[],上海市,上海市,崇明区
BV11219264,江南大道丰福路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"1731路(高峰线);长兴1路","121.706975","31.386649","121.70261036217035","31.38863814605539",[],上海市,上海市,崇明区
BV11305435,行政中心(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"1731路(高峰线);长兴4路","121.700668","31.388880","121.69631249183533","31.390878149083854",[],上海市,上海市,崇明区
BV11305433,凤蓉路海舸路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"1731路(高峰线);长兴4路","121.696823","31.390247","121.6924735620039","31.392251058767293",[],上海市,上海市,崇明区
BV10602345,解放圩(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],长兴3路,"121.683990","31.401514","121.67966239088992","31.403537680139692",[],上海市,上海市,崇明区
BV10458269,月牙港路金滂路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],1731路(高峰线),"121.710060","31.383387","121.70569150070955","31.385372739129163",[],上海市,上海市,崇明区
BV11594367,滨海古园(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"新芦专线;新芦专线区间","121.715378","30.856159","121.71104744188268","30.858405838881637",[],上海市,上海市,奉贤区
BV11594384,五四社区(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"635路;南五线;南五线(区间);四团2线;新芦专线;江五线;海湾3线","121.737186","30.864662","121.73283961512561","30.866884833519407",[],上海市,上海市,奉贤区
BV11634178,五四卫生服务中心(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],,"121.727379","30.866200","121.72303693686399","30.868428539070614",[],上海市,上海市,奉贤区
BV11634177,场中路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"南五线;南五线(区间)","121.732344","30.865846","121.72799920877527","30.868070976387834",[],上海市,上海市,奉贤区
BV11167794,五四场部(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],江五线,"121.735026","30.865660","121.73068016307467","30.867883412348874",[],上海市,上海市,奉贤区
BV10872479,场中路五四公路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],,"121.731545","30.866793","121.7272005045487","30.869017975522816",[],上海市,上海市,奉贤区
BV11486380,场中路终点站(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],南五线(区间),"121.731554","30.866871","121.72720949366416","30.86909592401694",[],上海市,上海市,奉贤区
BV10840650,场中路(终点站)(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],南五线(区间),"121.731562","30.866953","121.7272174829341","30.86917787089279",[],上海市,上海市,奉贤区
BV11632011,滨海古园北(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],,"121.714857","30.866437","121.71052616814704","30.86867854390186",[],上海市,上海市,奉贤区
BV10911005,五四公路芦五公路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],"635路;四团2线","121.737439","30.867088","121.73309235170565","30.86930930382315",[],上海市,上海市,奉贤区
BV11247344,万水路正旭路(公交站),"交通设施服务;公交车站;公交车站相关","150700",[],635路,"121.748377","30.864618","121.74403061882832","30.866837644924512",[],上海市,上海市,奉贤区
